tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct
1000 ; 1 ; 1 ; zhang ; 1 ; 106,1070830821991 ; 1
1000 ; 1 ; 1 ; custom ; 1 ; 6,2646520137786865 ; 1
1000 ; 1 ; 5 ; zhang ; 1 ; 103,88614892959595 ; 1
1000 ; 1 ; 5 ; custom ; 1 ; 32,987285137176514 ; 1
1000 ; 1 ; 10 ; zhang ; 1 ; 105,05948400497437 ; 1
1000 ; 1 ; 10 ; custom ; 1 ; 54,079684019088745 ; 1
1000 ; 1 ; 20 ; zhang ; 1 ; 103,43284702301025 ; 1
1000 ; 1 ; 20 ; custom ; 1 ; 51,07581901550293 ; 1
1000 ; 1 ; 100 ; zhang ; 1 ; 110,65296292304993 ; 1
1000 ; 1 ; 100 ; custom ; 1 ; 53,94548988342285 ; 1
Code timeout
1000 ; 2 ; 1 ; zhang ; 1 ; - ; 0
1000 ; 2 ; 1 ; custom ; 1 ; 0,07681107521057129 ; -
Code timeout
1000 ; 2 ; 5 ; zhang ; 1 ; - ; 0
1000 ; 2 ; 5 ; custom ; 1 ; 0,4175679683685303 ; -
Code timeout
1000 ; 2 ; 10 ; zhang ; 1 ; - ; 0
1000 ; 2 ; 10 ; custom ; 1 ; 1,7048771381378174 ; -
Code timeout
1000 ; 2 ; 20 ; zhang ; 1 ; - ; 0
1000 ; 2 ; 20 ; custom ; 1 ; 4,184133052825928 ; -
Code timeout
1000 ; 2 ; 100 ; zhang ; 1 ; - ; 0
1000 ; 2 ; 100 ; custom ; 1 ; 131,15946125984192 ; -
Code timeout
1000 ; 5 ; 1 ; zhang ; 1 ; - ; 0
1000 ; 5 ; 1 ; custom ; 1 ; 0,13133478164672852 ; -
Code timeout
1000 ; 5 ; 5 ; zhang ; 1 ; - ; 0
1000 ; 5 ; 5 ; custom ; 1 ; 0,8540599346160889 ; -
Code timeout
1000 ; 5 ; 10 ; zhang ; 1 ; - ; 0
1000 ; 5 ; 10 ; custom ; 1 ; 3,4902961254119873 ; -
Code timeout
1000 ; 5 ; 20 ; zhang ; 1 ; - ; 0
1000 ; 5 ; 20 ; custom ; 1 ; 10,332564115524292 ; -
Code timeout
1000 ; 5 ; 100 ; zhang ; 1 ; - ; 0
1000 ; 5 ; 100 ; custom ; 1 ; 306,74324893951416 ; -
Code timeout
1000 ; 1-2 ; 1 ; zhang ; 1 ; - ; 0
1000 ; 1-2 ; 1 ; custom ; 1 ; 0,08700013160705566 ; -
Code timeout
1000 ; 1-2 ; 5 ; zhang ; 1 ; - ; 0
1000 ; 1-2 ; 5 ; custom ; 1 ; 0,3505899906158447 ; -
Code timeout
1000 ; 1-2 ; 10 ; zhang ; 1 ; - ; 0
1000 ; 1-2 ; 10 ; custom ; 1 ; 2,088740825653076 ; -
Code timeout
1000 ; 1-2 ; 20 ; zhang ; 1 ; - ; 0
1000 ; 1-2 ; 20 ; custom ; 1 ; 7,708972215652466 ; -
Code timeout
1000 ; 1-2 ; 100 ; zhang ; 1 ; - ; 0
1000 ; 1-2 ; 100 ; custom ; 1 ; 123,353022813797 ; -
Code timeout
1000 ; 1-5 ; 1 ; zhang ; 1 ; - ; 0
1000 ; 1-5 ; 1 ; custom ; 1 ; 0,10146093368530273 ; -
Code timeout
1000 ; 1-5 ; 5 ; zhang ; 1 ; - ; 0
1000 ; 1-5 ; 5 ; custom ; 1 ; 0,718195915222168 ; -
Code timeout
1000 ; 1-5 ; 10 ; zhang ; 1 ; - ; 0
1000 ; 1-5 ; 10 ; custom ; 1 ; 2,490205764770508 ; -
Code timeout
1000 ; 1-5 ; 20 ; zhang ; 1 ; - ; 0
1000 ; 1-5 ; 20 ; custom ; 1 ; 15,85619831085205 ; -
Code timeout
1000 ; 1-5 ; 100 ; zhang ; 1 ; - ; 0
1000 ; 1-5 ; 100 ; custom ; 1 ; 213,20885920524597 ; -
