tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct
1000 ; 1 ; 1 ; custom ; 1 ; 54,08414006233215 ; -
1000 ; 1 ; 5 ; custom ; 1 ; 37,32583022117615 ; -
1000 ; 1 ; 10 ; custom ; 1 ; 61,146801233291626 ; -
1000 ; 1 ; 20 ; custom ; 1 ; 53,5877320766449 ; -
1000 ; 1 ; 100 ; custom ; 1 ; 62,32330894470215 ; -
1000 ; 2 ; 1 ; custom ; 1 ; 0,07710981369018555 ; -
1000 ; 2 ; 5 ; custom ; 1 ; 0,3986690044403076 ; -
1000 ; 2 ; 10 ; custom ; 1 ; 1,6908540725708008 ; -
1000 ; 2 ; 20 ; custom ; 1 ; 4,96498703956604 ; -
1000 ; 2 ; 100 ; custom ; 1 ; 112,11988425254822 ; -
1000 ; 5 ; 1 ; custom ; 1 ; 0,12350010871887207 ; -
1000 ; 5 ; 5 ; custom ; 1 ; 0,8161709308624268 ; -
1000 ; 5 ; 10 ; custom ; 1 ; 1,8158800601959229 ; -
1000 ; 5 ; 20 ; custom ; 1 ; 12,12271785736084 ; -
1000 ; 5 ; 100 ; custom ; 1 ; 305,26191306114197 ; -
1000 ; 1-2 ; 1 ; custom ; 1 ; 0,06059598922729492 ; -
1000 ; 1-2 ; 5 ; custom ; 1 ; 0,4566531181335449 ; -
1000 ; 1-2 ; 10 ; custom ; 1 ; 3,2257893085479736 ; -
1000 ; 1-2 ; 20 ; custom ; 1 ; 6,931838035583496 ; -
1000 ; 1-2 ; 100 ; custom ; 1 ; 127,3810408115387 ; -
1000 ; 1-5 ; 1 ; custom ; 1 ; 0,09409165382385254 ; -
1000 ; 1-5 ; 5 ; custom ; 1 ; 0,7503600120544434 ; -
1000 ; 1-5 ; 10 ; custom ; 1 ; 2,247469902038574 ; -
1000 ; 1-5 ; 20 ; custom ; 1 ; 12,313870191574097 ; -
1000 ; 1-5 ; 100 ; custom ; 1 ; 200,17137217521667 ; -
