tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct ; reduction
2000 ; 2 ; 1 ; custom ; 1 ; 0,17617416381835938 ; - ; 0.9229234222998255
2000 ; 2 ; 1 ; custom ; 1 ; 0,13597893714904785 ; - ; 1.0725866799700674
2000 ; 2 ; 1 ; custom ; 1 ; 0,1475052833557129 ; - ; 1.0232093835787373
2000 ; 2 ; 1 ; custom ; 1 ; 0,1575310230255127 ; - ; 0.8483033932135728
2000 ; 2 ; 1 ; custom ; 1 ; 0,1637706756591797 ; - ; 1.123034689293736
2000 ; 2 ; 1 ; custom ; 1 ; 0,13921380043029785 ; - ; 0.9728111748565728
2000 ; 2 ; 1 ; custom ; 1 ; 0,14249682426452637 ; - ; 1.0725866799700674
2000 ; 2 ; 1 ; custom ; 1 ; 0,15480399131774902 ; - ; 1.0473815461346634
2000 ; 2 ; 1 ; custom ; 1 ; 0,16558313369750977 ; - ; 1.2216404886561953
2000 ; 2 ; 1 ; custom ; 1 ; 0,15129303932189941 ; - ; 0.6734846595160887
2000 ; 2 ; 5 ; custom ; 1 ; 0,5537080764770508 ; - ; 3.2660184492645223
2000 ; 2 ; 5 ; custom ; 1 ; 0,6804208755493164 ; - ; 3.6926147704590817
2000 ; 2 ; 5 ; custom ; 1 ; 0,7224750518798828 ; - ; 3.3416458852867827
2000 ; 2 ; 5 ; custom ; 1 ; 0,7449889183044434 ; - ; 3.4912718204488775
2000 ; 2 ; 5 ; custom ; 1 ; 0,4609549045562744 ; - ; 2.844311377245509
2000 ; 2 ; 5 ; custom ; 1 ; 0,8418488502502441 ; - ; 3.4190167207387074
2000 ; 2 ; 5 ; custom ; 1 ; 0,5860319137573242 ; - ; 3.2676477924669496
2000 ; 2 ; 5 ; custom ; 1 ; 0,6802148818969727 ; - ; 3.389830508474576
2000 ; 2 ; 5 ; custom ; 1 ; 0,6709671020507812 ; - ; 3.143712574850299
2000 ; 2 ; 5 ; custom ; 1 ; 0,4726450443267822 ; - ; 3.1179845347967072
2000 ; 2 ; 10 ; custom ; 1 ; 1,8177270889282227 ; - ; 5.809025180752929
2000 ; 2 ; 10 ; custom ; 1 ; 1,8760879039764404 ; - ; 5.7149987521836785
2000 ; 2 ; 10 ; custom ; 1 ; 3,05051589012146 ; - ; 6.5635138507611686
2000 ; 2 ; 10 ; custom ; 1 ; 1,5986697673797607 ; - ; 5.5071019187640164
2000 ; 2 ; 10 ; custom ; 1 ; 2,1360158920288086 ; - ; 6.061361935644799
2000 ; 2 ; 10 ; custom ; 1 ; 1,4162969589233398 ; - ; 5.234297108673978
2000 ; 2 ; 10 ; custom ; 1 ; 3,54182505607605 ; - ; 7.354774370481176
2000 ; 2 ; 10 ; custom ; 1 ; 2,394517183303833 ; - ; 6.108202443280978
2000 ; 2 ; 10 ; custom ; 1 ; 1,616454839706421 ; - ; 5.110944901520818
2000 ; 2 ; 10 ; custom ; 1 ; 1,5670220851898193 ; - ; 5.383848454636091
2000 ; 2 ; 20 ; custom ; 1 ; 9,570851802825928 ; - ; 11.133300049925113
2000 ; 2 ; 20 ; custom ; 1 ; 6,767601728439331 ; - ; 9.24956369982548
2000 ; 2 ; 20 ; custom ; 1 ; 6,5404212474823 ; - ; 9.095439820583104
2000 ; 2 ; 20 ; custom ; 1 ; 10,277468919754028 ; - ; 11.06679960119641
2000 ; 2 ; 20 ; custom ; 1 ; 6,427771806716919 ; - ; 9.435846230654018
2000 ; 2 ; 20 ; custom ; 1 ; 7,8543829917907715 ; - ; 9.73053892215569
2000 ; 2 ; 20 ; custom ; 1 ; 7,228110074996948 ; - ; 9.698329593617553
2000 ; 2 ; 20 ; custom ; 1 ; 8,706248044967651 ; - ; 10.224438902743142
2000 ; 2 ; 20 ; custom ; 1 ; 9,519144058227539 ; - ; 10.917248255234297
2000 ; 2 ; 20 ; custom ; 1 ; 6,61071515083313 ; - ; 9.281437125748502
2000 ; 2 ; 100 ; custom ; 1 ; 192,69914603233337 ; - ; 32.85144566301097
2000 ; 2 ; 100 ; custom ; 1 ; 189,86613988876343 ; - ; 32.96812749003984
2000 ; 2 ; 100 ; custom ; 1 ; 202,22223377227783 ; - ; 33.61596009975062
2000 ; 2 ; 100 ; custom ; 1 ; 172,47615003585815 ; - ; 31.653778997256172
2000 ; 2 ; 100 ; custom ; 1 ; 155,25265264511108 ; - ; 30.740463724756918
2000 ; 2 ; 100 ; custom ; 1 ; 196,91036295890808 ; - ; 33.73193821624315
2000 ; 2 ; 100 ; custom ; 1 ; 166,78420996665955 ; - ; 31.736526946107784
2000 ; 2 ; 100 ; custom ; 1 ; 167,22491097450256 ; - ; 31.538269758165043
2000 ; 2 ; 100 ; custom ; 1 ; 191,35962629318237 ; - ; 33.03415607080529
2000 ; 2 ; 100 ; custom ; 1 ; 177,68228197097778 ; - ; 32.23716990533134
2000 ; 5 ; 1 ; custom ; 1 ; 0,18033885955810547 ; - ; 0.7453631478592477
2000 ; 5 ; 1 ; custom ; 1 ; 0,18770503997802734 ; - ; 0.676730869338886
2000 ; 5 ; 1 ; custom ; 1 ; 0,18326783180236816 ; - ; 0.7458803122289679
2000 ; 5 ; 1 ; custom ; 1 ; 0,17295002937316895 ; - ; 0.6755586350251169
2000 ; 5 ; 1 ; custom ; 1 ; 0,20020413398742676 ; - ; 0.6946856547412296
2000 ; 5 ; 1 ; custom ; 1 ; 0,21095991134643555 ; - ; 0.7813856572321584
2000 ; 5 ; 1 ; custom ; 1 ; 0,1867358684539795 ; - ; 0.782200590996002
2000 ; 5 ; 1 ; custom ; 1 ; 0,19284510612487793 ; - ; 0.7633587786259541
2000 ; 5 ; 1 ; custom ; 1 ; 0,19599509239196777 ; - ; 0.7463981947578546
2000 ; 5 ; 1 ; custom ; 1 ; 0,1970510482788086 ; - ; 0.7638888888888888
2000 ; 5 ; 5 ; custom ; 1 ; 0,5548708438873291 ; - ; 2.2876949740034664
2000 ; 5 ; 5 ; custom ; 1 ; 1,2083027362823486 ; - ; 2.9702970297029703
2000 ; 5 ; 5 ; custom ; 1 ; 0,9647059440612793 ; - ; 2.779708130646282
2000 ; 5 ; 5 ; custom ; 1 ; 0,7456660270690918 ; - ; 2.7551550857736964
2000 ; 5 ; 5 ; custom ; 1 ; 0,9880611896514893 ; - ; 2.8472222222222223
2000 ; 5 ; 5 ; custom ; 1 ; 1,0620448589324951 ; - ; 2.9452529452529452
2000 ; 5 ; 5 ; custom ; 1 ; 0,6536800861358643 ; - ; 2.344156971696475
2000 ; 5 ; 5 ; custom ; 1 ; 0,9849112033843994 ; - ; 2.844259451959764
2000 ; 5 ; 5 ; custom ; 1 ; 1,093177080154419 ; - ; 2.9483177245924383
2000 ; 5 ; 5 ; custom ; 1 ; 0,8915858268737793 ; - ; 2.9345372460496613
2000 ; 5 ; 10 ; custom ; 1 ; 3,099485158920288 ; - ; 4.917463075586446
2000 ; 5 ; 10 ; custom ; 1 ; 4,209107160568237 ; - ; 5.409153952843273
2000 ; 5 ; 10 ; custom ; 1 ; 3,1173019409179688 ; - ; 4.882710686359687
2000 ; 5 ; 10 ; custom ; 1 ; 3,212899684906006 ; - ; 5.0599895670318205
2000 ; 5 ; 10 ; custom ; 1 ; 4,162621259689331 ; - ; 5.23941707147814
2000 ; 5 ; 10 ; custom ; 1 ; 3,697361707687378 ; - ; 5.319888734353269
2000 ; 5 ; 10 ; custom ; 1 ; 4,481760025024414 ; - ; 5.285118219749652
2000 ; 5 ; 10 ; custom ; 1 ; 3,801180839538574 ; - ; 5.420430854760251
2000 ; 5 ; 10 ; custom ; 1 ; 4,142702102661133 ; - ; 5.347222222222222
2000 ; 5 ; 10 ; custom ; 1 ; 3,893876075744629 ; - ; 5.3875564824469935
2000 ; 5 ; 20 ; custom ; 1 ; 12,500730037689209 ; - ; 9.037191518943343
2000 ; 5 ; 20 ; custom ; 1 ; 15,83967900276184 ; - ; 9.62139631816603
2000 ; 5 ; 20 ; custom ; 1 ; 12,641191959381104 ; - ; 8.88888888888889
2000 ; 5 ; 20 ; custom ; 1 ; 14,097206115722656 ; - ; 9.232905241235683
2000 ; 5 ; 20 ; custom ; 1 ; 13,936980962753296 ; - ; 9.428076256499134
2000 ; 5 ; 20 ; custom ; 1 ; 15,512383937835693 ; - ; 9.412990621743662
2000 ; 5 ; 20 ; custom ; 1 ; 13,8651602268219 ; - ; 8.983697537287547
2000 ; 5 ; 20 ; custom ; 1 ; 12,09959602355957 ; - ; 8.50399166955918
2000 ; 5 ; 20 ; custom ; 1 ; 17,144951105117798 ; - ; 9.831801629963586
2000 ; 5 ; 20 ; custom ; 1 ; 13,849869966506958 ; - ; 9.17303683113273
