tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct ; reduction
500 ; 1 ; 1 ; custom ; 1 ; 0,10741400718688965 ; - ; 14,731369150779896
500 ; 1 ; 1 ; custom ; 1 ; 0,8232450485229492 ; - ; 41,91304347826087
500 ; 1 ; 1 ; custom ; 1 ; 5,8630311489105225 ; - ; 86,53198653198653
500 ; 1 ; 1 ; custom ; 1 ; 0,5349230766296387 ; - ; 38,353765323992995
500 ; 1 ; 1 ; custom ; 1 ; 1,191558837890625 ; - ; 50,51546391752577
500 ; 1 ; 1 ; custom ; 1 ; 4,511638164520264 ; - ; 84,40207972270363
500 ; 1 ; 1 ; custom ; 1 ; 0,9259366989135742 ; - ; 45,26678141135972
500 ; 1 ; 1 ; custom ; 1 ; 0,026902198791503906 ; - ; 3,9586919104991396
500 ; 1 ; 1 ; custom ; 1 ; 0,18982505798339844 ; - ; 23,316062176165804
500 ; 1 ; 1 ; custom ; 1 ; 5,489561080932617 ; - ; 89,67297762478485
500 ; 1 ; 5 ; custom ; 1 ; 1,6020898818969727 ; - ; 57,6592082616179
500 ; 1 ; 5 ; custom ; 1 ; 2,7505297660827637 ; - ; 71,57712305025996
500 ; 1 ; 5 ; custom ; 1 ; 2,5074410438537598 ; - ; 68,6411149825784
500 ; 1 ; 5 ; custom ; 1 ; 5,194061040878296 ; - ; 86,91910499139415
500 ; 1 ; 5 ; custom ; 1 ; 5,424458980560303 ; - ; 88,85017421602788
500 ; 1 ; 5 ; custom ; 1 ; 0,5475780963897705 ; - ; 37,26169844020797
500 ; 1 ; 5 ; custom ; 1 ; 1,0759570598602295 ; - ; 48,797250859106526
500 ; 1 ; 5 ; custom ; 1 ; 4,575529098510742 ; - ; 84,72222222222221
500 ; 1 ; 5 ; custom ; 1 ; 6,293431043624878 ; - ; 94,75524475524476
500 ; 1 ; 5 ; custom ; 1 ; 3,7358410358428955 ; - ; 78,54671280276817
500 ; 1 ; 10 ; custom ; 1 ; 4,9062700271606445 ; - ; 84,90566037735849
500 ; 1 ; 10 ; custom ; 1 ; 1,580441951751709 ; - ; 58,813263525305416
500 ; 1 ; 10 ; custom ; 1 ; 4,344094753265381 ; - ; 80,95238095238095
500 ; 1 ; 10 ; custom ; 1 ; 1,2495381832122803 ; - ; 52,054794520547944
500 ; 1 ; 10 ; custom ; 1 ; 6,038754940032959 ; - ; 92,09621993127148
500 ; 1 ; 10 ; custom ; 1 ; 4,365697145462036 ; - ; 83,97212543554006
500 ; 1 ; 10 ; custom ; 1 ; 7,195096015930176 ; - ; 98,60383944153578
500 ; 1 ; 10 ; custom ; 1 ; 5,346776247024536 ; - ; 91,24343257443083
500 ; 1 ; 10 ; custom ; 1 ; 7,132069110870361 ; - ; 98,61111111111111
500 ; 1 ; 10 ; custom ; 1 ; 8,080844163894653 ; - ; 98,65996649916248
500 ; 1 ; 20 ; custom ; 1 ; 7,230485916137695 ; - ; 98,62306368330465
500 ; 1 ; 20 ; custom ; 1 ; 5,645740985870361 ; - ; 88,47457627118645
500 ; 1 ; 20 ; custom ; 1 ; 6,668837785720825 ; - ; 93,8671209540034
